subject,order,response,item,uttrID,stimulus,context,error,error_uPOS,error_class,repair,repair_uPOS,repair_class,subs_position,target,group,condition,confidence,RT,correction_category,corrected_target,target_correction_category,target_correction,only_substitution
56e3125b533388365b5249d4ee3308a1,71,A: But I never got to see his actual nightly news,709,89374,A: But I never got to see his actual nightly news,A: Not really you know <br> in the last few years just his kind of informal segments I've seen,,,,,,,,A: But I never got to see his actual nightly news,1,fluent,67,128,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,18,B: And then finally got into it when I was still in school,51,73481,B: And then finally got into it when I was still in school,A: Yeah <br> B: And uh uh took it as a PE course and then kind of left it alone for a while ,when,ADV,OPEN,while,ADP,CLOSED,7,B: And then finally got into it while I was still in school,1,error,69,690,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,25,B: Well actually you have to give them in there not smashed,136,95300,B: Well actually you have to give them in there unsmashed,B: Yeah <br> A: For smashed cans ,give,VERB,OPEN,put,VERB,OPEN,6,B: Well actually you have to put them in there unsmashed,1,error,40,11,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,95,B: I thought yeah right come tell me about it you know,997,12024,B: I thought yeah right come tell me about it you know,B: And one of my fifth graders last year came up to me and said my mom's making me get rid of the bird <br> we have too many pets,,,,,,,,B: I thought yeah right come tell me about it you know,1,fluent,75,109,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,96,B: I had it five years,1009,16787,B: I had it five years,B: But it was a standard also <br> and the clutch went out on it toward the end,,,,,,,,B: I had it five years,1,fluent,87,102,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,62,A: And then I would send it back to her,601,5526,A: And then I would send it back to her,A: And my mother could make it on that <br> What she probably would do is disburse the money to me,,,,,,,,A: And then I would send it back to her,1,fluent,85,611,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,65,B: And I think they've received a lot out of it,637,62308,B: And I think they've gotten a lot out of it,B: Uh and you know I mean there have been so many people that have done it <br> and I've talked with several,,,,,,,,B: And I think they've gotten a lot out of it,1,fluent,74,84,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,46,B: and if you manage to get it out and then you know what can you even afford to think about what you're going to do because you don't know where your kids are at the same time,400,63563,B: and if you manage to get it out and then you know what can you even afford to think about what you're going to do because you don't know where your kids are at the same time,A: Right <br> B: uh you've got ,what,PRON,CLOSED,how,ADV,OPEN,13,B: and if you manage to get it out and then you know how can you even afford to think about what you're going to do because you don't know where your kids are at the same time,1,error,69,972,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,21,A: In other words if you get something the first time that's not real bad you know,87,79305,A: In other words if you get something the first time that's not real bad you know,B: But there is no known cure now <br> A: Um so you're kind of thinking ,get,VERB,OPEN,do,VERB,OPEN,6,A: In other words if you do something the first time that's not real bad you know,1,error,33,63,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,83,A: I knew it was there,853,71357,A: I knew it was there,B: I think that's the way it's worded <br> A: Is that how it's worded,,,,,,,,A: I knew it was there,1,fluent,91,86,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,34,A: And there right outside the place where the garbage can is we have the bag for the newspapers,244,40901,A: And there right outside the place where the garbage can is we have the bag for the newspapers,A: So right outside the back door I've got the two burlap bags hung up for the cans and bottles <br> B: Uh-huh ,the,DET,CLOSED,that,DET,CLOSED,5,A: And there right outside that place where the garbage can is we have the bag for the newspapers,1,error,90,296,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,32,B: Oh one of my boys that's twelve um has high cholesterol,221,100053,B: Oh one of my boys that's twelve um is high cholesterol,B: That's good <br> A: That's exactly what it is ,is,VERB,OPEN,has,VERB,OPEN,9,B: Oh one of my boys that's twelve um has high cholesterol,1,error,88,73,corrected,TRUE,corrected2target,has,TRUE
56e3125b533388365b5249d4ee3308a1,40,B: and I concerned me that people were using it as a way to get rid of things they just didn't want to set at the curb or take to the dump,317,89829,B: and I concerned me that people were using it as a way to get rid of things they just didn't want to set at the curb or take to the dump,A: Yeah <br> Yes,I,PRON,CLOSED,that,ADP,CLOSED,2,B: and that concerned me that people were using it as a way to get rid of things they just didn't want to set at the curb or take to the dump,1,error,77,98,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,99,B: But um I don't see that as being necessary now,1045,188,B: But um I don't see that as being necessary now,B: It gave folks some jobs <br> and we got some great public works out of it,,,,,,,,B: But um I don't see that as being necessary now,1,fluent,75,90,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,58,B: And we don't believe we have as much as my parents did,553,55996,B: And we don't believe we have as much as my parents did,B: We had a house and a home and <br> but now my wife and I both work,we,PRON,CLOSED,I,PRON,CLOSED,2,B: And I don't believe we have as much as my parents did,1,error,75,113,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,97,B: Uh I'm of the old school that believes that uh the uh uh contracts that we made back years ago needed to be honored,1021,19308,B: Uh I'm of the old school that believes that uh the uh uh contracts that we made back years ago needed to be honored,B: And uh I was uh fortunate not to have to serve in the theater <br> however my support roll in the service was to support those in the theater of operation,,,,,,,,B: Uh I'm of the old school that believes that uh the uh uh contracts that we made back years ago needed to be honored,1,fluent,88,102,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,15,A: Well it depends on whether we figure that we have a defense oriented military or an aggressive oriented military,26,50591,A: Well it depends on whether we figure that we have a defense oriented military or an aggressive oriented military,B: And you know and that's another debate <br> But uh it's uh,aggressive,ADJ,OPEN,aggression,NOUN,OPEN,17,A: Well it depends on whether we figure that we have a defense oriented military or an aggression oriented military,1,error,80,82,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,77,A: And she gives me ideas for my writing too,781,89262,A: And she gives me ideas for my writing too,A: And she's on the yearbook staff and things like that <br> so I can help her with that,,,,,,,,A: And she gives me ideas for my writing too,1,fluent,96,171,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,85,B: And what did you graduate in,877,51269,B: And what did you graduate in,B: So you went to what college <br> Uh Northern State University in Aberdeen South Dakota,,,,,,,,B: And what did you graduate in,1,fluent,30,587,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,56,B: And my bathing suit's just one piece,529,22168,B: And I bathing suit's just one piece,A: Yeah <br> Right,I,PRON,CLOSED,my,PRON,CLOSED,2,B: And my bathing suit's just one piece,1,error,81,63,corrected,TRUE,corrected2target,my,TRUE
56e3125b533388365b5249d4ee3308a1,87,A: And I don't know if you've heard of Plano,901,89578,A: And I don't know if you've heard of Plano,A: And they test test test <br> I live in Plano actually,,,,,,,,A: And I don't know if you've heard of Plano,1,fluent,72,94,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,84,A: And uh we're very attracted to exotic food,865,39042,A: And uh we're very attracted to exotic food,A: Uh well uh we don't have any children <br> so uh we tend to like to try all sorts of different things,,,,,,,,A: And uh we're very attracted to exotic food,1,fluent,75,94,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,75,B: That would seem strange to already be working here in the first week of the drug test,757,104248,B: That would seem strange to already be working here in the first week of the drug test,B: And I thought I <br> boy I can't remember,,,,,,,,B: That would seem strange to already be working here in the first week of the drug test,1,fluent,88,120,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,47,A: Uh I I uh got my degree,412,104833,A: Uh I I uh got my degree,A: Uh and benefits through the government are uh really <br> uh uh they're not the greatest,I,PRON,CLOSED,before,ADP,CLOSED,2,A: Uh before I uh got my degree,1,error,70,82,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,31,B: That's the way it is there too,208,48675,B: That's the way it is there too,B: Right <br> Yeah,is,VERB,OPEN,was,VERB,OPEN,5,B: That's the way it was there too,1,error,88,286,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,61,A: And I guess while we were inside eating Thumper just tore the heck out of the inside of the car,589,15395,A: And I guess while we were inside eating Thumper just tore the heck out of the inside of the car,A: And we stopped along the way and had a bite to eat <br> and they left the dog in the car,,,,,,,,A: And I guess while we were inside eating Thumper just tore the heck out of the inside of the car,1,fluent,99,151,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,30,B: And when I got in there I didn't like able to give a full sample,196,106352,B: And when I got in there I didn't like able to give a full sample,B: But I had forgotten about that <br> and so basically I'd already peed off in that morning,didn't,VERB,OPEN,wasn't,VERB,OPEN,8,B: And when I got in there I wasn't like able to give a full sample,1,error,82,487,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,80,A: I'm not particularly skilled in it,817,16089,A: I'm not particularly schooled in it,A: And my classical music tends to be confined to the seventeen hundreds early eighteen hundred music <br> I'm not a music um,,,,,,,,A: I'm not particularly schooled in it,1,fluent,70,86,corrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,79,A: So the most careful thing we do on our yard every August is put down that Diazinon,805,39953,A: So the most careful thing we do on our yard every August is put down that Diazinon,A: So we had to go out and resod the whole thing with squares and wet it and put it down and rope it off everything <br> It took a lot of money and a lot of time,,,,,,,,A: So the most careful thing we do on our yard every August is put down that Diazinon,1,fluent,92,90,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,70,A: And he said I'll sell that snake to you for two fifty,697,11949,A: And he said I'll sell that snake to you for two fifty,A: So I made him a deal <br> A: I said you take that skunk,,,,,,,,A: And he said I'll sell that snake to you for two fifty,1,fluent,99,299,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,74,A: You put um really good vanilla favoring in it and some butter,745,102273,A: You put um really good vanilla favoring in it and some butter,A: And then you can make chocolate <br> or you can take it off and let it cool (mumblex),,,,,,,,A: You put um really good vanilla favoring in it and some butter,1,fluent,83,84,uncorrected,FALSE,n/a,n/a,TRUE
56e3125b533388365b5249d4ee3308a1,16,A: Well it depends on whether you figure that we have a defense oriented military or an aggressive oriented military,27,50591,A: Well it depends on whether you figure that we have a defense oriented military or an aggressive oriented military,B: And you know and that's another debate <br> But uh it's uh,you,PRON,CLOSED,we,PRON,CLOSED,6,A: Well it depends on whether we figure that we have a defense oriented military or an aggressive oriented military,1,error,79,92,uncorrected,FALSE,n/a,n/a,TRUE
